Utbildningsanordnare, administrativ enhet;Administrativ enhet, besöksadress;Administrativ enhet, postadress;Administrativ enhet, postnummer;Administrativ enhet, postort;Administrativ enhet, e-post;Telefonnummer;Utbildningsnummer;Utbildningsnamn;Studieort;Studieform;Status;Beviljade platser;Antal Studerande
AGSTU AB;Oxbacksgatan 2B;Oxbacksgatan 2B;72461;Västerås;mia.lindh@agstu.com;070-2864344;YH00742;FPGA - ingenjör;Virsbo;Distans;Beviljat;20;
ALEA Kompetenshöjning AB;Anderstorpsvägen 22;Anderstorpsvägen 22;17154;Solna;info@arenayrkeshogskola.se;010-7880039;YH01175;Rörnätstekniker/Arbetsledare–Rörnätsteknik;Kalmar;Distans;Beviljat;20;
ALEA Kompetenshöjning AB;Anderstorpsvägen 22;Anderstorpsvägen 22;17154;Solna;info@arenayrkeshogskola.se;010-7880039;YH01738;Vatten- och miljötekniker;Höör;Distans;Beviljat;20;
ALEA Kompetenshöjning AB;Anderstorpsvägen 22;Anderstorpsvägen 22;17154;Solna;info@arenayrkeshogskola.se;010-7880039;YH01848;Rörnätsinspektör Mark;Stockholm;Distans;Startat;30;18
ALEA Kompetenshöjning AB;Anderstorpsvägen 22;Anderstorpsvägen 22;17154;Solna;info@arenayrkeshogskola.se;010-7880039;YH01935;Rörinspektör - Mark/Fastighet;Stockholm;Distans;Beviljat;20;
ALEA Kompetenshöjning AB;Anderstorpsvägen 22;Anderstorpsvägen 22;17154;Solna;info@arenayrkeshogskola.se;010-7880039;YH02086;Maskinsystem och fossilfri framdrift i sjötrafiken;Stockholm;Distans;Startat;40;30
ALEA Kompetenshöjning AB;Anderstorpsvägen 22;Anderstorpsvägen 22;17154;Solna;info@arenayrkeshogskola.se;010-7880039;YH02470;Grön budgetering - Klimatdeklarationens ekonomi;Stockholm;Distans;Startat;60;24
ALEA Kompetenshöjning AB;Anderstorpsvägen 22;Anderstorpsvägen 22;17154;Solna;info@arenayrkeshogskola.se;010-7880039;YH02597;Energioptimering och navigationsteknik för framtidens sjöfart;Stockholm;Distans;Startat;60;25
ALEA Kompetenshöjning AB;Anderstorpsvägen 22;Anderstorpsvägen 22;17154;Solna;info@arenayrkeshogskola.se;010-7880039;YH02602;Lågenergihus, effektivisering och hållbarhet;Stockholm;Distans;Startat;60;26
Alfta Skogstekniska Utbildning AB;Humlabacken 11;Humlabacken 11;82240;Alfta;info@skogstekniska.se;0271-12222;YH01929;Skogsbrukstekniker;Alfta, Ljusdal;Bunden;Beviljat;35;
Alma Löv Museum AB /Alma Education ;Smedsby 108;Smedsby 108;68696;Östra Ämtervik;info@almamanusutbildning.com;706807767;YH00185;Manusförfattare ;Östra Ämtervik;Distans;Beviljat;18;
Almost There AB;Manufakturgatan 2D;Manufakturgatan 2D;41707;Göteborg;tom@almostthere.se;703513437;YH02378;Internationell Kulturproducent;Boden;Distans;Beviljat;25;
Amsac AB;Knähammar 228;Knähammar 228;45195;Uddevalla;kontakt@amsac.se;102099039;YH02535;Service och underhåll på vindkraftturbiner med Lifetime Extension;Rabbalshede, Simrishamn, Umeå;Distans;Startat;90;25
Amsac Kompetenspartner YH AB;Knähammar 228;Knähammar 228;45195;Uddevalla;amsac@telia.com;102099039;YH02687;Produktionsledare och planerare för cirkulär produktion;Trollhättan, Vindeln;Distans;Beviljat;24;
Amsac Kompetenspartner YH AB;Knähammar 228;Knähammar 228;45195;Uddevalla;amsac@telia.com;102099039;YH02717;Elkrafttekniker för högspänningsanläggningar;Göteborg, Vindeln;Distans;Beviljat;30;
Arboga kommun, Vuxenutbildningen;Gunnarsrovägen 2;Box 2;73221;Arboga;naiomi.norman@arboga.se;073-7657477;YH00456;Elkraftingenjör- produktion, distribution och miljö;Arboga, Ludvika;Bunden;Beviljat;25;
Arboga kommun, Vuxenutbildningen;Gunnarsrovägen 2;Box 2;73221;Arboga;naiomi.norman@arboga.se;073-7657477;YH00572;Stödpedagog inom funktionshinderområdet;Arboga;Distans;Beviljat;25;
Arboga kommun, Vuxenutbildningen;Gunnarsrovägen 2;Box 2;73221;Arboga;naiomi.norman@arboga.se;073-7657477;YH00596;Specialistundersköterska inom vård och omsorg av äldre;Arboga;Distans;Beviljat;25;
Arboga kommun, Vuxenutbildningen;Gunnarsrovägen 2;Box 2;73221;Arboga;naiomi.norman@arboga.se;073-7657477;YH00748;Underhållsingenjör;Arboga;Bunden;Beviljat;20;
Arvika Kommun;Arvika Näringslivscentrum;Arvika Närlingslivscentrum Box 913;67129;Arvika;peo.filipsson@aanc.se;0570-81600;YH01483;Kyl- och Värmepumpstekniker;Arvika;Bunden;Beviljat;20;
